action_taken,action_taken_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,property_type,property_type_name,purchaser_type,purchaser_type_name,,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,population
1,Loan originated,2,Not Hispanic or Latino,97,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,164811,109000,187,363,1817,5870
1,Loan originated,2,Not Hispanic or Latino,200,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,New York County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",26589,71300,460,53,256,3512
1,Loan originated,2,Not Hispanic or Latino,,3,Black or African American,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Orange County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),141383,71300,296,2745,2586,8357
1,Loan originated,2,Not Hispanic or Latino,202,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,154957,109000,770,1879,2147,6642
1,Loan originated,2,Not Hispanic or Latino,255,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,106528,109000,648,835,676,2339
1,Loan originated,2,Not Hispanic or Latino,100,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Saratoga County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1986,82700,40,3488,2002,8977
1,Loan originated,2,Not Hispanic or Latino,25,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Erie County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,8633,69000,57,1891,804,4881
1,Loan originated,2,Not Hispanic or Latino,13,3,Black or African American,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Erie County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,106963,69000,38,1686,519,2757
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",230,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Schenectady County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,155085,82700,159,2414,2077,7442
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",114,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,106529,109000,302,363,1817,5870
1,Loan originated,2,Not Hispanic or Latino,89,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Queens County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),89037,71300,135,251,558,1960
